"bibtype","author","title","journal","publisher","doi","url","fulltext","related","year","abstract","note","type"
"Article","EI Damschen and LA Brudvig and MA Burt and RJ Fletcher Jr and {...}","Ongoing accumulation of plant diversity through habitat connectivity in an 18-year experiment","Science","science.org","10.1126/science.aax8992","https://www.science.org/doi/abs/10.1126/science.aax8992","https://www.science.org/doi/full/10.1126/science.aax8992","https://scholar.google.com/scholar?q=related:ZzKRqVsNjw8J:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2019","… Our results contrast with hypotheses that attribute biodiversity change to habitat area alone and those that do not attempt to isolate underlying mechanisms (14). In our study system, …","196 cites: https://scholar.google.com/scholar?cites=1121129519576592999\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Article","Z Zhang and S Meerow and JP Newell and M Lindquist","Enhancing landscape connectivity through multifunctional green infrastructure corridor modeling and design","Urban forestry \&urban …","Elsevier","","https://www.sciencedirect.com/science/article/pii/S1618866717307343","https://www.academia.edu/download/101486840/EnhansingLandscape.pdf","https://scholar.google.com/scholar?q=related:kbiw2IKitiIJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2019","… Landscape connectivity is critical for ecosystem health and biodiversity conservation, yet … This paper provides a practical and replicable approach for assessing landscape connectivity …","345 cites: https://scholar.google.com/scholar?cites=2501365325915797649\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Article","I Cannas and S Lai and F Leone and C Zoppi","Green infrastructure and ecological corridors: A regional study concerning Sardinia","Sustainability","mdpi.com","","https://www.mdpi.com/2071-1050/10/4/1265","https://www.mdpi.com/2071-1050/10/4/1265","https://scholar.google.com/scholar?q=related:-EUSXyw-p2wJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2018","… concepts: ecological connectivity, biodiversity conservation … issues such as biodiversity conservation and production of … is on maintaining and improving biodiversity’s conservation …","68 cites: https://scholar.google.com/scholar?cites=7829294837501412856\&as_sdt=2005\&sciodt=2007\&hl=en","HTML"
"Article","T Garrido‐Garduño and O Téllez‐Valdés and {...}","Role of habitat heterogeneity and landscape connectivity in shaping gene flow and spatial population structure of a dominant rodent species in a tropical dry forest","Journal of …","Wiley Online Library","10.1111/jzo.12307","https://zslpublications.onlinelibrary.wiley.com/doi/abs/10.1111/jzo.12307","https://www.researchgate.net/profile/Oswaldo-Tellez-Valdes/publication/284244143_Role_of_habitat_heterogeneity_and_landscape_connectivity_in_shaping_gene_flow_and_spatial_population_structure_of_a_dominant_rodent_species_in_a_tropical_dry_forest/links/566afc8208aea0892c4bbe38/Role-of-habitat-heterogeneity-and-landscape-connectivity-in-shaping-gene-flow-and-spatial-population-structure-of-a-dominant-rodent-species-in-a-tropical-dry-forest.pdf","https://scholar.google.com/scholar?q=related:GJXhvWQK4E0J:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2016","… and landscape connectivity influence fine‐scale population processes of gene flow and … We evaluated how landscape features shaped the genetic structure and gene flow at a fine …","46 cites: https://scholar.google.com/scholar?cites=5611496563502322968\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Article","WD Spencer and P Beier and K Penrod and K Winters and {...}","California essential habitat connectivity project: a strategy for conserving a connected California","… Department of Fish …","researchgate.net","","https://www.researchgate.net/profile/Wayne-Spencer/publication/273317392_California_Essential_Habitat_Connectivity_Project_A_Strategy_for_Conserving_a_Connected_California/links/54fdcca70cf2c3f524254ad0/California-Essential-Habitat-Connectivity-Project-A-Strategy-for-Conserving-a-Connected-California.pdf","https://www.researchgate.net/profile/Wayne-Spencer/publication/273317392_California_Essential_Habitat_Connectivity_Project_A_Strategy_for_Conserving_a_Connected_California/links/54fdcca70cf2c3f524254ad0/California-Essential-Habitat-Connectivity-Project-A-Strategy-for-Conserving-a-Connected-California.pdf","https://scholar.google.com/scholar?q=related:I9QWMa4I43wJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2010","… the California Essential Habitat Connectivity Project because a … agencies that are involved in biodiversity conservation, land-… from efforts to improve habitat connectivity at various scales. …","127 cites: https://scholar.google.com/scholar?cites=8999046024657294371\&as_sdt=2005\&sciodt=2007\&hl=en","PDF"
"Book","G Tabor","Ecological connectivity: a bridge to preserving biodiversity-frontiers 2018/19: emerging issues of environmental concern chapter 2","","sidalc.net","","https://www.sidalc.net/search/Record/oai:wedocs.unep.org:20.500.11822-27541/Description",NA,"https://scholar.google.com/scholar?q=related:s3Ln4ZFW5QAJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2018","Nature was once vast and boundless, but in an industrialized, 21st century world, this is no longer the case. Across the globe, landscapes and seascapes are becoming more …","21 cites: https://scholar.google.com/scholar?cites=64552954227028659\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Article","AJ Gregory and P Beier","Response variables for evaluation of the effectiveness of conservation corridors","Conservation Biology","Wiley Online Library","10.1111/cobi.12252","https://conbio.onlinelibrary.wiley.com/doi/abs/10.1111/cobi.12252",NA,"https://scholar.google.com/scholar?q=related:Hu_xGM7frdAJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2014","… Perhaps the best way to provide a useful assessment of conservation corridors would be to measure gene flow, patch occupancy, and species richness in a large number of corridor-…","59 cites: https://scholar.google.com/scholar?cites=15036920807134719774\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Article","X Huang and H Wang and L Shan and F Xiao","Constructing and optimizing urban ecological network in the context of rapid urbanization for improving landscape connectivity","Ecological Indicators","Elsevier","","https://www.sciencedirect.com/science/article/pii/S1470160X21009845","https://www.sciencedirect.com/science/article/pii/S1470160X21009845","https://scholar.google.com/scholar?q=related:bV6X9POyGKIJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2021","… number of ecological corridors in 2015 was decreasing. Although the ecological connectivity was … are of great significance for protecting biodiversity, improving ecosystem functions, and …","243 cites: https://scholar.google.com/scholar?cites=11680282394435739245\&as_sdt=2005\&sciodt=2007\&hl=en","HTML"
"Article","U Ortega and I Ametzaga-Arregi and U Sertutxa and L Peña","Identifying a green infrastructure to prioritise areas for restoration to enhance the landscape connectivity and the provision of ecosystem services","Landscape Ecology","Springer","10.1007/s10980-023-01789-6","https://link.springer.com/article/10.1007/s10980-023-01789-6","https://link.springer.com/article/10.1007/s10980-023-01789-6","https://scholar.google.com/scholar?q=related:2F5gfjcIYboJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2023","… Habitat fragmentation is one of the major causes of the loss of biodiversity that our planet is … the aim of protecting biodiversity and ES supply, as well as improving ecological connectivity. …","38 cites: https://scholar.google.com/scholar?cites=13430024598231998168\&as_sdt=2005\&sciodt=2007\&hl=en","HTML"
"Article","M Ignatieva and GH Stewart and C Meurk","Planning and design of ecological networks in urban areas","Landscape and ecological …","Springer","10.1007/s11355-010-0143-y","https://link.springer.com/article/10.1007/s11355-010-0143-y","https://www.academia.edu/download/68615444/Planning_and_design_of_ecological_networ20210805-14077-ga3p9h.pdf","https://scholar.google.com/scholar?q=related:nX3jnQPWvHwJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2011","… areas of shrines and royal palaces have been revisited and newly interpreted as making a valuable contribution to planned ecological networks and the promotion of urban biodiversity. …","514 cites: https://scholar.google.com/scholar?cites=8988294267346845085\&as_sdt=2005\&sciodt=2007\&hl=en",NA
"Article","E Trevarrow and I Arismendi","The role of large wood in streams as ecological corridors for wildlife biodiversity","Biodiversity and Conservation","Springer","10.1007/s10531-022-02437-2","https://link.springer.com/article/10.1007/s10531-022-02437-2",NA,"https://scholar.google.com/scholar?q=related:0vYXG5bBa0sJ:scholar.google.com/\&scioq=%22ecological+connectivity%22%7C%22landscape+connectivity%22%7C%22habitat+connectivity%22%7C%22biological+corridors%22%7C%22ecological+corridors%22%7C%22connectivity+planning%22%7C%22ecological+networks%22%7C%22conservation+corridors%22+%22biodiversity%22%7C%22ecosystem+processes%22%7C%22gene+flow%22%7C%22species+dispersal%22%7C%22range+shifts%22%7C%22climate+refugia%22%7C%22climate+corridors%22%7C%22climate+responsive+planning%22%7C%22landscape+permeability%22+%22spatial+planning%22%7C%22land+use+planning%22%7C%22conservation+planning%22%7C%22restoration+planning%22%7C%22ecosystem+based+planning%22%7C%22socio+ecological+planning%22%7C%22integrated+planning%22+%22indigenous+knowledge%22%7C%22traditional+ecological+knowledge%22%7C%22local+ecological+knowledge%22%7C%22traditional+knowledge%22%7C%22community+based+knowledge%22%7C%22ilk%22+%22benefits%22%7C%22co+benefits%22%7C%22ecosystem+services%22%7C%22pollination%22%7C%22migration+pathways%22%7C%22hydrological+connectivity%22%7C%22agroecology%22%7C%22fisheries%22%7C%22disaster+risk+reduction%22%7C%22cultural+services%22%7C%22livelihoods%22%7C%22wellbeing%22+%22risks%22%7C%22negative+impacts%22%7C%22threats%22%7C%22ecological+traps%22%7C%22invasive+species%22%7C%22pathogen+spread%22%7C%22zoonotic+disease%22%7C%22epidemiological+risk%22%7C%22outbreeding+depression%22%7C%22genetic+swamping%22%7C%22maladaptive+restoration%22%7C%22human+wildlife+conflict%22+%22systematic+review%22%7C%22review%22%7C%22literature+review%22%7C%22meta+analysis%22%7C%22evidence+synthesis%22%7C%22assessment%22%7C%22technical+report%22%7C%22government+report%22%7C%22policy+report%22%7C%22white+paper%22%7C%22state+of+the+environment+report%22\&hl=en\&as_sdt=2007\&as_ylo=2000\&as_yhi=2026","2022","… wildlife biodiversity acting as lateral corridors that improve terrestrial habitat connectivity, … Consequently, the evaluation of wildlife biodiversity associated with large wood in streams …","9 cites: https://scholar.google.com/scholar?cites=5434650225796445906\&as_sdt=2005\&sciodt=2007\&hl=en",NA
